Number of Vehicles in Lane 1,Number of Vehicles in Lane 2,Number of Vehicles in Lane 3,Number of Vehicles in Lane 4,Lane 1 Traffic Flow,Lane 2 Traffic Flow,Lane 3 Traffic Flow,Lane 4 Traffic Flow,Lane 1 On Time,Lane 2 On Time,Lane 3 On Time,Lane 4 On Time,Lane 1 Saturation Flow,Lane 2 Saturation Flow,Lane 3 Saturation Flow,Lane 4 Saturation Flow,Lane 1 Flow Ratio,Lane 2 Flow Ratio,Lane 3 Flow Ratio,Lane 4 Flow Ratio,Total Flow Ratio,Optimum Cycle Time,Width of Lane 1,Width of Lane 2,Width of Lane 3,Width of Lane 4,Intergreen Period,Amber Period,Number of Phases,Initial Delay,Minimum On Time,Maximum Cycle Time,Total Time Lost
18,14,9,24,21.25,22.25,12.5,33.0,11.0,11.0,10.0,17.0,180.0,180.0,180.0,180.0,0.11805555555555555,0.12361111111111112,0.06944444444444445,0.18333333333333332,0.49444444444444446,65,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
38,12,16,0,66.75,25.25,24.75,0.0,39.0,15.0,15.0,10.0,180.0,180.0,180.0,180.0,0.37083333333333335,0.14027777777777778,0.1375,0.0,0.648611111111111,95,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
30,38,30,34,33.5,51.25,43.75,45.75,20.0,31.0,26.0,27.0,180.0,180.0,180.0,180.0,0.18611111111111112,0.2847222222222222,0.24305555555555555,0.25416666666666665,0.9680555555555556,120,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
24,24,14,25,33.0,26.5,16.25,42.5,20.0,16.0,10.0,26.0,180.0,180.0,180.0,180.0,0.18333333333333332,0.14722222222222223,0.09027777777777778,0.2361111111111111,0.6569444444444444,90,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
26,0,22,7,29.41,0.0,32.58,11.0,14.0,10.0,16.0,10.0,180.0,180.0,180.0,180.0,0.1633888888888889,0.0,0.181,0.06111111111111111,0.40549999999999997,65,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
27,16,25,2,31.83,23.0,42.5,2.75,17.0,12.0,23.0,10.0,180.0,180.0,180.0,180.0,0.17683333333333331,0.12777777777777777,0.2361111111111111,0.015277777777777777,0.5559999999999998,80,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
7,26,27,14,11.0,41.5,42.33,22.25,10.0,25.0,25.0,14.0,180.0,180.0,180.0,180.0,0.06111111111111111,0.23055555555555557,0.23516666666666666,0.12361111111111112,0.6504444444444445,90,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
4,24,27,24,5.5,33.0,31.83,32.25,10.0,18.0,18.0,18.0,180.0,180.0,180.0,180.0,0.030555555555555555,0.18333333333333332,0.17683333333333331,0.17916666666666667,0.5698888888888889,80,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
1,19,10,16,1.0,26.75,14.25,24.75,10.0,14.0,10.0,13.0,180.0,180.0,180.0,180.0,0.005555555555555556,0.1486111111111111,0.07916666666666666,0.1375,0.37083333333333335,60,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
9,12,22,27,12.5,25.25,32.58,42.33,10.0,15.0,19.0,25.0,180.0,180.0,180.0,180.0,0.06944444444444445,0.14027777777777778,0.181,0.23516666666666666,0.6258888888888888,85,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
30,3,24,3,43.75,2.0,26.5,3.0,22.0,10.0,13.0,10.0,180.0,180.0,180.0,180.0,0.24305555555555555,0.011111111111111112,0.14722222222222223,0.016666666666666666,0.41805555555555557,70,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
18,24,25,14,28.75,29.0,37.25,22.25,17.0,17.0,22.0,13.0,180.0,180.0,180.0,180.0,0.1597222222222222,0.16111111111111112,0.20694444444444443,0.12361111111111112,0.6513888888888888,85,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
9,1,2,34,12.5,0.33,2.75,45.75,10.0,10.0,10.0,24.0,180.0,180.0,180.0,180.0,0.06944444444444445,0.0018333333333333335,0.015277777777777777,0.25416666666666665,0.3407222222222222,70,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
9,31,9,12,10.75,44.5,12.5,25.25,10.0,22.0,10.0,14.0,180.0,180.0,180.0,180.0,0.059722222222222225,0.24722222222222223,0.06944444444444445,0.14027777777777778,0.5166666666666666,70,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
1,24,9,14,1.0,38.0,10.75,22.25,10.0,19.0,10.0,11.0,180.0,180.0,180.0,180.0,0.005555555555555556,0.2111111111111111,0.059722222222222225,0.12361111111111112,0.4,65,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
42,4,22,26,65.0,4.0,32.58,41.5,44.0,10.0,22.0,28.0,180.0,180.0,180.0,180.0,0.3611111111111111,0.022222222222222223,0.181,0.23055555555555557,0.794888888888889,120,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
42,24,0,3,65.0,29.0,0.0,3.0,34.0,15.0,10.0,10.0,180.0,180.0,180.0,180.0,0.3611111111111111,0.16111111111111112,0.0,0.016666666666666666,0.538888888888889,85,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
3,12,0,24,3.0,14.25,0.0,33.0,10.0,10.0,10.0,20.0,180.0,180.0,180.0,180.0,0.016666666666666666,0.07916666666666666,0.0,0.18333333333333332,0.2791666666666667,65,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
9,9,16,16,10.75,12.5,20.5,24.75,10.0,10.0,13.0,13.0,180.0,180.0,180.0,180.0,0.059722222222222225,0.06944444444444445,0.11388888888888889,0.1375,0.3805555555555556,60,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
16,0,9,14,23.0,0.0,10.75,16.25,13.0,10.0,10.0,13.0,180.0,180.0,180.0,180.0,0.12777777777777777,0.0,0.059722222222222225,0.09027777777777778,0.2777777777777778,60,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
5,17,12,19,10.5,26.5,25.25,26.75,10.0,13.0,14.0,13.0,180.0,180.0,180.0,180.0,0.058333333333333334,0.14722222222222223,0.14027777777777778,0.1486111111111111,0.49444444444444446,65,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
25,12,4,0,36.0,14.25,5.5,0.0,19.0,10.0,10.0,10.0,180.0,180.0,180.0,180.0,0.2,0.07916666666666666,0.030555555555555555,0.0,0.30972222222222223,65,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
24,7,4,17,32.25,11.0,4.0,30.5,17.0,10.0,10.0,16.0,180.0,180.0,180.0,180.0,0.17916666666666667,0.06111111111111111,0.022222222222222223,0.16944444444444445,0.43194444444444446,70,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
21,25,24,12,28.0,42.5,32.25,25.25,19.0,30.0,22.0,18.0,180.0,180.0,180.0,180.0,0.15555555555555556,0.2361111111111111,0.17916666666666667,0.14027777777777778,0.711111111111111,105,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
37,4,1,42,50.33,4.0,0.33,56.5,30.0,10.0,10.0,34.0,180.0,180.0,180.0,180.0,0.2796111111111111,0.022222222222222223,0.0018333333333333335,0.3138888888888889,0.6175555555555555,100,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
26,4,3,4,41.5,4.0,2.0,4.0,25.0,10.0,10.0,10.0,180.0,180.0,180.0,180.0,0.23055555555555557,0.022222222222222223,0.011111111111111112,0.022222222222222223,0.2861111111111111,70,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
16,24,1,16,24.75,29.0,1.0,20.5,11.0,13.0,10.0,12.0,180.0,180.0,180.0,180.0,0.1375,0.16111111111111112,0.005555555555555556,0.11388888888888889,0.41805555555555557,60,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
7,27,0,18,11.0,42.33,0.0,21.25,10.0,19.0,10.0,14.0,180.0,180.0,180.0,180.0,0.06111111111111111,0.23516666666666666,0.0,0.11805555555555555,0.41433333333333333,65,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
26,33,1,4,41.5,46.5,0.33,4.0,21.0,23.0,10.0,10.0,180.0,180.0,180.0,180.0,0.23055555555555557,0.25833333333333336,0.0018333333333333335,0.022222222222222223,0.5129444444444445,80,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
24,0,7,24,29.0,0.0,11.0,32.25,14.0,10.0,10.0,16.0,180.0,180.0,180.0,180.0,0.16111111111111112,0.0,0.06111111111111111,0.17916666666666667,0.4013888888888889,65,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
38,17,12,42,66.75,26.5,25.25,65.0,38.0,15.0,14.0,37.0,180.0,180.0,180.0,180.0,0.37083333333333335,0.14722222222222223,0.14027777777777778,0.3611111111111111,1.0194444444444446,120,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
24,25,14,24,33.0,36.0,16.25,26.5,20.0,22.0,10.0,16.0,180.0,180.0,180.0,180.0,0.18333333333333332,0.2,0.09027777777777778,0.14722222222222223,0.6208333333333333,85,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
25,24,0,25,42.5,29.0,0.0,36.0,23.0,16.0,10.0,20.0,180.0,180.0,180.0,180.0,0.2361111111111111,0.16111111111111112,0.0,0.2,0.5972222222222223,85,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
2,12,4,9,2.75,14.25,4.0,10.75,10.0,14.0,10.0,13.0,180.0,180.0,180.0,180.0,0.015277777777777777,0.07916666666666666,0.022222222222222223,0.059722222222222225,0.1763888888888889,55,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
27,18,5,17,42.33,21.25,10.5,26.5,23.0,11.0,10.0,14.0,180.0,180.0,180.0,180.0,0.23516666666666666,0.11805555555555555,0.058333333333333334,0.14722222222222223,0.5587777777777778,75,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
0,19,33,27,0.0,26.75,46.5,31.83,10.0,14.0,24.0,16.0,180.0,180.0,180.0,180.0,0.0,0.1486111111111111,0.25833333333333336,0.17683333333333331,0.5837777777777777,80,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
12,37,37,18,19.5,50.33,53.25,21.25,14.0,36.0,38.0,15.0,180.0,180.0,180.0,180.0,0.10833333333333334,0.2796111111111111,0.29583333333333334,0.11805555555555555,0.8018333333333334,120,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
26,25,4,0,41.5,36.0,5.5,0.0,21.0,18.0,10.0,10.0,180.0,180.0,180.0,180.0,0.23055555555555557,0.2,0.030555555555555555,0.0,0.46111111111111114,75,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
10,0,25,42,14.25,0.0,37.25,56.5,10.0,10.0,21.0,32.0,180.0,180.0,180.0,180.0,0.07916666666666666,0.0,0.20694444444444443,0.3138888888888889,0.6,90,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
37,29,26,2,50.33,41.25,41.5,2.75,36.0,29.0,29.0,10.0,180.0,180.0,180.0,180.0,0.2796111111111111,0.22916666666666666,0.23055555555555557,0.015277777777777777,0.7546111111111111,120,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
24,4,37,22,38.0,4.0,53.25,32.58,27.0,10.0,38.0,23.0,180.0,180.0,180.0,180.0,0.2111111111111111,0.022222222222222223,0.29583333333333334,0.181,0.7101666666666666,115,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
30,17,5,1,43.75,30.5,10.5,1.0,23.0,16.0,10.0,10.0,180.0,180.0,180.0,180.0,0.24305555555555555,0.16944444444444445,0.058333333333333334,0.005555555555555556,0.47638888888888886,75,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
12,3,3,24,19.5,3.0,2.0,33.0,10.0,10.0,10.0,18.0,180.0,180.0,180.0,180.0,0.10833333333333334,0.016666666666666666,0.011111111111111112,0.18333333333333332,0.3194444444444444,65,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
7,38,1,19,11.0,51.25,1.0,26.75,10.0,26.0,10.0,13.0,180.0,180.0,180.0,180.0,0.06111111111111111,0.2847222222222222,0.005555555555555556,0.1486111111111111,0.5,75,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
32,17,19,30,38.65,26.5,26.75,33.5,26.0,18.0,18.0,22.0,180.0,180.0,180.0,180.0,0.2147222222222222,0.14722222222222223,0.1486111111111111,0.18611111111111112,0.6966666666666667,100,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
38,27,12,33,66.75,34.25,19.5,46.5,42.0,21.0,12.0,29.0,180.0,180.0,180.0,180.0,0.37083333333333335,0.19027777777777777,0.10833333333333334,0.25833333333333336,0.9277777777777778,120,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
24,18,4,4,38.0,28.75,4.0,5.5,19.0,15.0,10.0,10.0,180.0,180.0,180.0,180.0,0.2111111111111111,0.1597222222222222,0.022222222222222223,0.030555555555555555,0.4236111111111111,70,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
21,1,30,42,28.0,1.0,43.75,65.0,19.0,10.0,30.0,45.0,180.0,180.0,180.0,180.0,0.15555555555555556,0.005555555555555556,0.24305555555555555,0.3611111111111111,0.7652777777777777,120,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
25,7,5,14,36.0,11.0,10.5,16.25,17.0,10.0,10.0,10.0,180.0,180.0,180.0,180.0,0.2,0.06111111111111111,0.058333333333333334,0.09027777777777778,0.40972222222222227,60,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
34,4,0,9,45.75,4.0,0.0,10.75,22.0,10.0,10.0,10.0,180.0,180.0,180.0,180.0,0.25416666666666665,0.022222222222222223,0.0,0.059722222222222225,0.3361111111111111,65,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
16,12,10,38,17.0,14.25,14.25,51.25,10.0,10.0,10.0,28.0,180.0,180.0,180.0,180.0,0.09444444444444444,0.07916666666666666,0.07916666666666666,0.2847222222222222,0.5375,75,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
5,10,27,14,10.5,14.25,42.33,22.25,10.0,10.0,22.0,13.0,180.0,180.0,180.0,180.0,0.058333333333333334,0.07916666666666666,0.23516666666666666,0.12361111111111112,0.4962777777777778,70,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
30,24,12,27,43.75,38.0,25.25,42.33,30.0,26.0,18.0,29.0,180.0,180.0,180.0,180.0,0.24305555555555555,0.2111111111111111,0.14027777777777778,0.23516666666666666,0.8296111111111111,120,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
38,0,1,24,51.25,0.0,0.33,33.0,24.0,10.0,10.0,15.0,180.0,180.0,180.0,180.0,0.2847222222222222,0.0,0.0018333333333333335,0.18333333333333332,0.4698888888888889,75,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
9,24,24,37,12.5,38.0,33.0,53.25,10.0,29.0,25.0,40.0,180.0,180.0,180.0,180.0,0.06944444444444445,0.2111111111111111,0.18333333333333332,0.29583333333333334,0.7597222222222222,120,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
32,2,16,0,38.65,2.75,20.5,0.0,19.0,10.0,13.0,10.0,180.0,180.0,180.0,180.0,0.2147222222222222,0.015277777777777777,0.11388888888888889,0.0,0.34388888888888886,65,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
24,4,3,19,33.0,5.5,3.0,26.75,16.0,10.0,10.0,13.0,180.0,180.0,180.0,180.0,0.18333333333333332,0.030555555555555555,0.016666666666666666,0.1486111111111111,0.37916666666666665,65,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
19,9,4,26,26.75,10.75,5.5,41.5,12.0,10.0,10.0,21.0,180.0,180.0,180.0,180.0,0.1486111111111111,0.059722222222222225,0.030555555555555555,0.23055555555555557,0.46944444444444444,70,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
22,4,2,14,32.58,5.5,2.75,22.25,15.0,10.0,10.0,10.0,180.0,180.0,180.0,180.0,0.181,0.030555555555555555,0.015277777777777777,0.12361111111111112,0.35044444444444445,60,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
4,22,18,27,5.5,32.58,28.75,42.33,10.0,19.0,16.0,24.0,180.0,180.0,180.0,180.0,0.030555555555555555,0.181,0.1597222222222222,0.23516666666666666,0.6064444444444445,85,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
3,1,12,4,2.0,0.33,19.5,5.5,10.0,10.0,16.0,10.0,180.0,180.0,180.0,180.0,0.011111111111111112,0.0018333333333333335,0.10833333333333334,0.030555555555555555,0.15183333333333335,60,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
30,25,19,0,33.5,42.5,26.75,0.0,18.0,22.0,14.0,10.0,180.0,180.0,180.0,180.0,0.18611111111111112,0.2361111111111111,0.1486111111111111,0.0,0.5708333333333333,80,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
27,14,4,9,34.25,16.25,4.0,12.5,19.0,10.0,10.0,10.0,180.0,180.0,180.0,180.0,0.19027777777777777,0.09027777777777778,0.022222222222222223,0.06944444444444445,0.37222222222222223,65,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
16,19,24,4,23.0,26.75,38.0,5.5,12.0,14.0,21.0,10.0,180.0,180.0,180.0,180.0,0.12777777777777777,0.1486111111111111,0.2111111111111111,0.030555555555555555,0.5180555555555556,75,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
42,16,7,3,65.0,23.0,11.0,3.0,36.0,12.0,10.0,10.0,180.0,180.0,180.0,180.0,0.3611111111111111,0.12777777777777777,0.06111111111111111,0.016666666666666666,0.5666666666666667,85,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
9,17,21,14,12.5,26.5,28.0,16.25,10.0,14.0,14.0,10.0,180.0,180.0,180.0,180.0,0.06944444444444445,0.14722222222222223,0.15555555555555556,0.09027777777777778,0.4625,65,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
9,42,22,24,12.5,65.0,32.58,32.25,10.0,47.0,24.0,23.0,180.0,180.0,180.0,180.0,0.06944444444444445,0.3611111111111111,0.181,0.17916666666666667,0.7907222222222223,120,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
14,14,12,0,16.25,22.25,19.5,0.0,10.0,12.0,10.0,10.0,180.0,180.0,180.0,180.0,0.09027777777777778,0.12361111111111112,0.10833333333333334,0.0,0.32222222222222224,60,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
4,0,14,3,5.5,0.0,22.25,3.0,10.0,10.0,15.0,10.0,180.0,180.0,180.0,180.0,0.030555555555555555,0.0,0.12361111111111112,0.016666666666666666,0.17083333333333334,60,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
14,9,18,42,16.25,12.5,28.75,65.0,10.0,10.0,19.0,44.0,180.0,180.0,180.0,180.0,0.09027777777777778,0.06944444444444445,0.1597222222222222,0.3611111111111111,0.6805555555555556,100,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
16,22,27,0,23.0,32.58,34.25,0.0,11.0,16.0,17.0,10.0,180.0,180.0,180.0,180.0,0.12777777777777777,0.181,0.19027777777777777,0.0,0.49905555555555553,70,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
18,12,17,16,21.25,14.25,30.5,20.5,11.0,10.0,16.0,11.0,180.0,180.0,180.0,180.0,0.11805555555555555,0.07916666666666666,0.16944444444444445,0.11388888888888889,0.48055555555555557,65,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
42,12,9,30,56.5,19.5,12.5,43.75,42.0,14.0,10.0,32.0,180.0,180.0,180.0,180.0,0.3138888888888889,0.10833333333333334,0.06944444444444445,0.24305555555555555,0.7347222222222223,115,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
14,14,0,1,22.25,22.25,0.0,1.0,12.0,12.0,10.0,10.0,180.0,180.0,180.0,180.0,0.12361111111111112,0.12361111111111112,0.0,0.005555555555555556,0.25277777777777777,60,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
12,9,27,14,25.25,12.5,34.25,16.25,13.0,10.0,17.0,10.0,180.0,180.0,180.0,180.0,0.14027777777777778,0.06944444444444445,0.19027777777777777,0.09027777777777778,0.4902777777777778,65,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
24,37,12,25,29.0,53.25,25.25,37.25,21.0,38.0,18.0,27.0,180.0,180.0,180.0,180.0,0.16111111111111112,0.29583333333333334,0.14027777777777778,0.20694444444444443,0.8041666666666667,120,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
14,24,4,21,22.25,29.0,4.0,28.0,10.0,14.0,10.0,14.0,180.0,180.0,180.0,180.0,0.12361111111111112,0.16111111111111112,0.022222222222222223,0.15555555555555556,0.46249999999999997,65,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
0,34,24,19,0.0,45.75,32.25,26.75,10.0,24.0,17.0,14.0,180.0,180.0,180.0,180.0,0.0,0.25416666666666665,0.17916666666666667,0.1486111111111111,0.5819444444444445,80,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
29,17,37,21,41.25,26.5,50.33,28.0,29.0,19.0,36.0,20.0,180.0,180.0,180.0,180.0,0.22916666666666666,0.14722222222222223,0.2796111111111111,0.15555555555555556,0.8115555555555555,120,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
0,27,12,12,0.0,42.33,25.25,19.5,10.0,21.0,13.0,12.0,180.0,180.0,180.0,180.0,0.0,0.23516666666666666,0.14027777777777778,0.10833333333333334,0.4837777777777778,70,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
0,18,42,26,0.0,21.25,56.5,29.41,10.0,14.0,31.0,16.0,180.0,180.0,180.0,180.0,0.0,0.11805555555555555,0.3138888888888889,0.1633888888888889,0.5953333333333334,85,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
